symbol,starttime,start_LTP,endtime,end_LTP,change_pct,start_buySellRatio,end_buySellRatio,bidAskSpread_start,bidAskSpread_end
NSE:EVEREADY-EQ,2025-09-25 09:32:00.340035,405.85,2025-09-25 09:40:19.505176,408.55,0.690,0.6230,0.5887,0.4000,0.5000
NSE:EVEREADY-EQ,2025-09-25 09:50:21.832443,407.10,2025-09-25 10:05:39.174476,409.00,0.670,0.4263,0.4724,0.4500,0.3000
NSE:EVEREADY-EQ,2025-09-25 10:05:40.327799,409.00,2025-09-25 10:19:59.187860,407.00,0.721,0.4735,0.3672,0.3500,0.4500
NSE:EVEREADY-EQ,2025-09-25 11:33:45.043049,404.90,2025-09-25 12:03:42.232434,402.10,0.661,0.4243,0.3515,0.4000,0.2500
NSE:EVEREADY-EQ,2025-09-25 12:37:52.857969,400.10,2025-09-25 13:04:47.832728,403.00,0.675,0.2853,0.4196,0.1000,0.3000
NSE:EVEREADY-EQ,2025-09-25 13:52:43.329546,402.25,2025-09-25 14:22:41.063845,399.70,0.665,0.4254,0.2955,0.4000,0.3500
NSE:EVEREADY-EQ,2025-09-25 14:34:43.954572,399.50,2025-09-25 15:04:40.455337,397.00,0.707,0.3274,0.3151,0.2500,0.4000
NSE:EXIDEIND-EQ,2025-09-25 09:43:43.238647,395.45,2025-09-25 10:02:22.780153,398.00,0.677,0.8549,1.2331,0.1500,0.1000
NSE:EXIDEIND-EQ,2025-09-25 11:32:43.231122,396.20,2025-09-25 12:02:42.359266,393.70,0.662,1.0155,0.8233,0.1500,0.1000
NSE:EXIDEIND-EQ,2025-09-25 12:08:22.990958,392.35,2025-09-25 12:22:42.890016,395.00,0.663,0.8011,1.0313,0.0500,0.1500
NSE:FACT-EQ,2025-09-25 09:32:09.120237,973.80,2025-09-25 09:37:11.395772,968.15,0.662,0.3000,0.2317,0.8500,0.2500
NSE:FACT-EQ,2025-09-25 09:37:19.391640,967.50,2025-09-25 09:55:59.167479,974.00,0.666,0.2333,0.3813,0.5500,0.6500
